,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.agent.OR..animate.machine..V.NP.beneficiary.animate.NP.product.concrete,NP.V.NP.beneficiary.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.beneficiary.NP.product,NP.agent.V.NP.beneficiary.NP.product,NP.OR..animate.machine..V.NP.animate.NP.concrete,NP.OR..animate.machine..V.NP.animate.NP.concrete,NP.agent.OR..animate.machine..V.NP.beneficiary.animate.NP.product.concrete
NP.agent.OR..animate.machine..V.NP.beneficiary.animate.NP.result,NP.V.NP.beneficiary.NP,NP.V.NP.NP,NP.V.NP.NP,NP.agent.V.NP.beneficiary.NP.result,NP.agent.V.NP.beneficiary.NP.result,NP.OR..animate.machine..V.NP.animate.NP,NP.OR..animate.machine..V.NP.animate.NP,NP.agent.OR..animate.machine..V.NP.beneficiary.animate.NP.result
NP.agent.OR..animate.machine..V.NP.destination.concrete,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.destination,NP.agent.V.NP.destination,NP.OR..animate.machine..V.NP.concrete,NP.OR..animate.machine..V.NP.concrete,NP.agent.OR..animate.machine..V.NP.destination.concrete
NP.agent.OR..animate.machine..V.NP.destination.concrete.with.NP.theme,NP.V.NP.PP.theme,NP.V.NP.PP,NP.V.NP.with.NP,NP.agent.V.NP.destination.PP.theme,NP.agent.V.NP.destination.with.NP.theme,NP.OR..animate.machine..V.NP.concrete.PP,NP.OR..animate.machine..V.NP.concrete.with.NP,NP.agent.OR..animate.machine..V.NP.destination.concrete.PP.theme
NP.agent.OR..animate.machine..V.NP.initial_location.location,NP.V.NP.initial_location,NP.V.NP,NP.V.NP,NP.agent.V.NP.initial_location,NP.agent.V.NP.initial_location,NP.OR..animate.machine..V.NP.location,NP.OR..animate.machine..V.NP.location,NP.agent.OR..animate.machine..V.NP.initial_location.location
NP.agent.OR..animate.machine..V.NP.initial_location.location.ADJP.Result,NP.V.NP.ADJP.Result,NP.V.NP.ADJP,NP.V.NP.ADJP,NP.agent.V.NP.initial_location.ADJP,NP.agent.V.NP.initial_location.ADJP,NP.OR..animate.machine..V.NP.location.ADJP.Result,NP.OR..animate.machine..V.NP.location.ADJP.Result,NP.agent.OR..animate.machine..V.NP.initial_location.location.ADJP.Result
NP.agent.OR..animate.machine..V.NP.instrument.pointy.into.NP.patient.concrete,NP.V.NP.PP.patient,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.instrument.PP.patient,NP.agent.V.NP.instrument.into.NP.patient,NP.OR..animate.machine..V.NP.pointy.PP.concrete,NP.OR..animate.machine..V.NP.pointy.into.NP.concrete,NP.agent.OR..animate.machine..V.NP.instrument.pointy.PP.patient.concrete
NP.agent.OR..animate.machine..V.NP.instrument.pointy.through.NP.patient.concrete,NP.V.NP.PP.patient,NP.V.NP.PP,NP.V.NP.through.NP,NP.agent.V.NP.instrument.PP.patient,NP.agent.V.NP.instrument.through.NP.patient,NP.OR..animate.machine..V.NP.pointy.PP.concrete,NP.OR..animate.machine..V.NP.pointy.through.NP.concrete,NP.agent.OR..animate.machine..V.NP.instrument.pointy.PP.patient.concrete
NP.agent.OR..animate.machine..V.NP.material,NP.V.NP.material,NP.V.NP,NP.V.NP,NP.agent.V.NP.material,NP.agent.V.NP.material,NP.OR..animate.machine..V.NP,NP.OR..animate.machine..V.NP,NP.agent.OR..animate.machine..V.NP.material
NP.agent.OR..animate.machine..V.NP.material.into.NP.product,NP.V.NP.material.PP.product,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.material.PP.product,NP.agent.V.NP.material.into.NP.product,NP.OR..animate.machine..V.NP.PP,NP.OR..animate.machine..V.NP.into.NP,NP.agent.OR..animate.machine..V.NP.material.PP.product
NP.agent.OR..animate.machine..V.NP.material.concrete.for.NP.beneficiary.OR..animate.organization.,NP.V.NP.PP.beneficiary,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.material.PP.beneficiary,NP.agent.V.NP.material.for.NP.beneficiary,NP.OR..animate.machine..V.NP.concrete.PP.OR..animate.organization.,NP.OR..animate.machine..V.NP.concrete.for.NP.OR..animate.organization.,NP.agent.OR..animate.machine..V.NP.material.concrete.PP.beneficiary.OR..animate.organization.
NP.agent.OR..animate.machine..V.NP.material.concrete.into.NP.product,NP.V.NP.material.PP.product,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.material.PP.product,NP.agent.V.NP.material.into.NP.product,NP.OR..animate.machine..V.NP.concrete.PP,NP.OR..animate.machine..V.NP.concrete.into.NP,NP.agent.OR..animate.machine..V.NP.material.concrete.PP.product
NP.agent.OR..animate.machine..V.NP.material.concrete.into.NP.product.for.NP.beneficiary.OR..animate.organization.,NP.V.NP.PP.product.PP.beneficiary,NP.V.NP.PP.PP,NP.V.NP.into.NP.for.NP,NP.agent.V.NP.material.PP.product.PP.beneficiary,NP.agent.V.NP.material.into.NP.product.for.NP.beneficiary,NP.OR..animate.machine..V.NP.concrete.PP.PP.OR..animate.organization.,NP.OR..animate.machine..V.NP.concrete.into.NP.for.NP.OR..animate.organization.,NP.agent.OR..animate.machine..V.NP.material.concrete.PP.product.PP.beneficiary.OR..animate.organization.
NP.agent.OR..animate.machine..V.NP.patient,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.patient,NP.agent.V.NP.patient,NP.OR..animate.machine..V.NP,NP.OR..animate.machine..V.NP,NP.agent.OR..animate.machine..V.NP.patient
NP.agent.OR..animate.machine..V.NP.patient.from.NP.material.into.NP.result,NP.V.NP.patient.PP.material.PP.result,NP.V.NP.PP.PP,NP.V.NP.from.NP.into.NP,NP.agent.V.NP.patient.PP.material.PP.result,NP.agent.V.NP.patient.from.NP.material.into.NP.result,NP.OR..animate.machine..V.NP.PP.PP,NP.OR..animate.machine..V.NP.from.NP.into.NP,NP.agent.OR..animate.machine..V.NP.patient.PP.material.PP.result
NP.agent.OR..animate.machine..V.NP.patient.into.NP.result,NP.V.NP.patient.PP.result,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.patient.PP.result,NP.agent.V.NP.patient.into.NP.result,NP.OR..animate.machine..V.NP.PP,NP.OR..animate.machine..V.NP.into.NP,NP.agent.OR..animate.machine..V.NP.patient.PP.result
NP.agent.OR..animate.machine..V.NP.patient.to.NP.co.patient,NP.V.NP.PP.co.patient,NP.V.NP.PP,NP.V.NP.to.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.to.NP.co.patient,NP.OR..animate.machine..V.NP.PP,NP.OR..animate.machine..V.NP.to.NP,NP.agent.OR..animate.machine..V.NP.patient.PP.co.patient
NP.agent.OR..animate.machine..V.NP.patient.concrete,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.patient,NP.agent.V.NP.patient,NP.OR..animate.machine..V.NP.concrete,NP.OR..animate.machine..V.NP.concrete,NP.agent.OR..animate.machine..V.NP.patient.concrete
NP.agent.OR..animate.machine..V.NP.patient.concrete.for.NP.beneficiary.animate,NP.V.NP.PP.beneficiary,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.patient.PP.beneficiary,NP.agent.V.NP.patient.for.NP.beneficiary,NP.OR..animate.machine..V.NP.concrete.PP.animate,NP.OR..animate.machine..V.NP.concrete.for.NP.animate,NP.agent.OR..animate.machine..V.NP.patient.concrete.PP.beneficiary.animate
NP.agent.OR..animate.machine..V.NP.patient.concrete.from.NP.co.patient.concrete,NP.V.NP.PP.co.patient,NP.V.NP.PP,NP.V.NP.from.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.from.NP.co.patient,NP.OR..animate.machine..V.NP.concrete.PP.concrete,NP.OR..animate.machine..V.NP.concrete.from.NP.concrete,NP.agent.OR..animate.machine..V.NP.patient.concrete.PP.co.patient.concrete
NP.agent.OR..animate.machine..V.NP.patient.concrete.into.NP.co.patient.concrete,NP.V.NP.PP,NP.V.NP.PP,NP.V.NP.into.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.into.NP.co.patient,NP.OR..animate.machine..V.NP.concrete.PP.concrete,NP.OR..animate.machine..V.NP.concrete.into.NP.concrete,NP.agent.OR..animate.machine..V.NP.patient.concrete.PP.co.patient.concrete
NP.agent.OR..animate.machine..V.NP.patient.concrete.to.NP.co.patient.concrete,NP.V.NP.PP,NP.V.NP.PP,NP.V.NP.to.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.to.NP.co.patient,NP.OR..animate.machine..V.NP.concrete.PP.concrete,NP.OR..animate.machine..V.NP.concrete.to.NP.concrete,NP.agent.OR..animate.machine..V.NP.patient.concrete.PP.co.patient.concrete
NP.agent.OR..animate.machine..V.NP.patient.concrete.together,NP.V.NP.together,NP.V.NP.together,NP.V.NP.together,NP.agent.V.NP.patient.together,NP.agent.V.NP.patient.together,NP.OR..animate.machine..V.NP.concrete.together,NP.OR..animate.machine..V.NP.concrete.together,NP.agent.OR..animate.machine..V.NP.patient.concrete.together
NP.agent.OR..animate.machine..V.NP.patient.concrete.with.NP.co.patient.concrete,NP.V.NP.PP,NP.V.NP.PP,NP.V.NP.with.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.with.NP.co.patient,NP.OR..animate.machine..V.NP.concrete.PP.concrete,NP.OR..animate.machine..V.NP.concrete.with.NP.concrete,NP.agent.OR..animate.machine..V.NP.patient.concrete.PP.co.patient.concrete
NP.agent.OR..animate.machine..V.NP.patient.concrete.with.NP.instrument.pointy,NP.V.NP.PP.instrument,NP.V.NP.PP,NP.V.NP.with.NP,NP.agent.V.NP.patient.PP.instrument,NP.agent.V.NP.patient.with.NP.instrument,NP.OR..animate.machine..V.NP.concrete.PP.pointy,NP.OR..animate.machine..V.NP.concrete.with.NP.pointy,NP.agent.OR..animate.machine..V.NP.patient.concrete.PP.instrument.pointy
NP.agent.OR..animate.machine..V.NP.patient.solid,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.patient,NP.agent.V.NP.patient,NP.OR..animate.machine..V.NP.solid,NP.OR..animate.machine..V.NP.solid,NP.agent.OR..animate.machine..V.NP.patient.solid
NP.agent.OR..animate.machine..V.NP.patient.solid.ADJP,NP.V.NP.ADJP,NP.V.NP.ADJP,NP.V.NP.ADJP,NP.agent.V.NP.patient.ADJP,NP.agent.V.NP.patient.ADJP,NP.OR..animate.machine..V.NP.solid.ADJP,NP.OR..animate.machine..V.NP.solid.ADJP,NP.agent.OR..animate.machine..V.NP.patient.solid.ADJP
NP.agent.OR..animate.machine..V.NP.patient.solid.on.NP.co.patient.solid,NP.V.NP.PP.co.patient,NP.V.NP.PP,NP.V.NP.on.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.on.NP.co.patient,NP.OR..animate.machine..V.NP.solid.PP.solid,NP.OR..animate.machine..V.NP.solid.on.NP.solid,NP.agent.OR..animate.machine..V.NP.patient.solid.PP.co.patient.solid
NP.agent.OR..animate.machine..V.NP.patient.solid.onto.NP.co.patient.solid,NP.V.NP.PP.co.patient,NP.V.NP.PP,NP.V.NP.onto.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.onto.NP.co.patient,NP.OR..animate.machine..V.NP.solid.PP.solid,NP.OR..animate.machine..V.NP.solid.onto.NP.solid,NP.agent.OR..animate.machine..V.NP.patient.solid.PP.co.patient.solid
NP.agent.OR..animate.machine..V.NP.patient.solid.to.NP.co.patient.solid,NP.V.NP.PP.co.patient,NP.V.NP.PP,NP.V.NP.to.NP,NP.agent.V.NP.patient.PP.co.patient,NP.agent.V.NP.patient.to.NP.co.patient,NP.OR..animate.machine..V.NP.solid.PP.solid,NP.OR..animate.machine..V.NP.solid.to.NP.solid,NP.agent.OR..animate.machine..V.NP.patient.solid.PP.co.patient.solid
NP.agent.OR..animate.machine..V.NP.patient.solid.together,NP.V.NP.together,NP.V.NP.together,NP.V.NP.together,NP.agent.V.NP.patient.together,NP.agent.V.NP.patient.together,NP.OR..animate.machine..V.NP.solid.together,NP.OR..animate.machine..V.NP.solid.together,NP.agent.OR..animate.machine..V.NP.patient.solid.together
NP.agent.OR..animate.machine..V.NP.product,NP.V.NP,NP.V.NP,NP.V.NP,NP.agent.V.NP.product,NP.agent.V.NP.product,NP.OR..animate.machine..V.NP,NP.OR..animate.machine..V.NP,NP.agent.OR..animate.machine..V.NP.product
NP.agent.OR..animate.machine..V.NP.product.for.NP.asset.currency,NP.V.NP.PP.asset,NP.V.NP.PP,NP.V.NP.for.NP,NP.agent.V.NP.product.PP.asset,NP.agent.V.NP.product.for.NP.asset,NP.OR..animate.machine..V.NP.PP.currency,NP.OR..animate.machine..V.NP.for.NP.currency,NP.agent.OR..animate.machine..V.NP.product.PP.asset.currency
