,gt.ns,cx.ns,ex.cx,cx.tr,et.cx,cx.ss,ex.ss,cx.st
NP.agent.OR..animate.organization..V.beneath.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.beneath.NP,NP.agent.V.PP.theme,NP.agent.V.beneath.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.beneath.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.beside.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.beside.NP,NP.agent.V.PP.theme,NP.agent.V.beside.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.beside.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.between.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.between.NP,NP.agent.V.PP.theme,NP.agent.V.between.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.between.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.beyond.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.beyond.NP,NP.agent.V.PP.theme,NP.agent.V.beyond.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.beyond.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.by.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.by.NP,NP.agent.V.PP.theme,NP.agent.V.by.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.by.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.concerning.NP.topic.communication,NP.V.PP.topic,NP.V.PP,NP.V.concerning.NP,NP.agent.V.PP.topic,NP.agent.V.concerning.NP.topic,NP.OR..animate.organization..V.PP.communication,NP.OR..animate.organization..V.concerning.NP.communication,NP.agent.OR..animate.organization..V.PP.topic.communication
NP.agent.OR..animate.organization..V.for.NP.recipient.OR..animate.organization.,NP.V.PP.recipient,NP.V.PP,NP.V.for.NP,NP.agent.V.PP.recipient,NP.agent.V.for.NP.recipient,NP.OR..animate.organization..V.PP.OR..animate.organization.,NP.OR..animate.organization..V.for.NP.OR..animate.organization.,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization.
NP.agent.OR..animate.organization..V.for.NP.recipient.OR..animate.organization..S.Quote.topic.communication,NP.V.PP.recipient.S.Quote,NP.V.PP.S,NP.V.for.NP.S,NP.agent.V.PP.recipient.S.topic,NP.agent.V.for.NP.recipient.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..S.Quote.communication,NP.OR..animate.organization..V.for.NP.OR..animate.organization..S.Quote.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..S.Quote.topic.communication
NP.agent.OR..animate.organization..V.for.NP.recipient.OR..animate.organization..S_INF.topic.communication,NP.V.for.NP.S_INF,NP.V.PP.S,NP.V.for.NP.S,NP.agent.V.PP.recipient.S.topic,NP.agent.V.for.NP.recipient.S.topic,NP.OR..animate.organization..V.for.NP.OR..animate.organization..S.communication,NP.OR..animate.organization..V.for.NP.OR..animate.organization..S_INF.communication,NP.agent.OR..animate.organization..V.for.NP.recipient.OR..animate.organization..S_INF.topic.communication
NP.agent.OR..animate.organization..V.for.NP.recipient.OR..animate.organization..how.S_INF.topic.communication,NP.V.PP.recipient.how.S_INF,NP.V.PP.comp.S,NP.V.for.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.for.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S.communication,NP.OR..animate.organization..V.for.NP.OR..animate.organization..how.S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S_INF.topic.communication
NP.agent.OR..animate.organization..V.for.NP.recipient.OR..animate.organization..that.S.topic.communication,NP.V.PP.recipient.that.S,NP.V.PP.comp.S,NP.V.for.NP.that.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.for.NP.recipient.that.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..that.S.communication,NP.OR..animate.organization..V.for.NP.OR..animate.organization..that.S.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..that.S.topic.communication
NP.agent.OR..animate.organization..V.for.NP.topic,NP.V.PP.topic,NP.V.PP,NP.V.for.NP,NP.agent.V.PP.topic,NP.agent.V.for.NP.topic,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.for.NP,NP.agent.OR..animate.organization..V.PP.topic
NP.agent.OR..animate.organization..V.for.NP.topic.S_INF,NP.V.for.NP.S_INF,NP.V.PP.S,NP.V.for.NP.S,NP.agent.V.PP.topic.S,NP.agent.V.for.NP.topic.S,NP.OR..animate.organization..V.for.NP.S,NP.OR..animate.organization..V.for.NP.S_INF,NP.agent.OR..animate.organization..V.for.NP.topic.S_INF
NP.agent.OR..animate.organization..V.from.NP.source,NP.V.PP.source,NP.V.PP,NP.V.from.NP,NP.agent.V.PP.source,NP.agent.V.from.NP.source,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.from.NP,NP.agent.OR..animate.organization..V.PP.source
NP.agent.OR..animate.organization..V.from.NP.source.about.NP.theme.what.S,NP.V.PP.source.PP.theme.what.S,NP.V.PP.PP.comp.S,NP.V.from.NP.about.NP.what.S,NP.agent.V.PP.source.PP.theme.comp.S,NP.agent.V.from.NP.source.about.NP.theme.what.S,NP.OR..animate.organization..V.PP.PP.what.S,NP.OR..animate.organization..V.from.NP.about.NP.what.S,NP.agent.OR..animate.organization..V.PP.source.PP.theme.what.S
NP.agent.OR..animate.organization..V.from.NP.source.about.NP.theme.what.S_INF,NP.V.PP.source.PP.theme.what.S_INF,NP.V.PP.PP.comp.S,NP.V.from.NP.about.NP.what.S,NP.agent.V.PP.source.PP.theme.comp.S,NP.agent.V.from.NP.source.about.NP.theme.what.S,NP.OR..animate.organization..V.PP.PP.what.S,NP.OR..animate.organization..V.from.NP.about.NP.what.S_INF,NP.agent.OR..animate.organization..V.PP.source.PP.theme.what.S_INF
NP.agent.OR..animate.organization..V.from.NP.source.about.NP.theme.whether.S_INF,NP.V.PP.source.PP.theme.whether.S_INF,NP.V.PP.PP.comp.S,NP.V.from.NP.about.NP.whether.S,NP.agent.V.PP.source.PP.theme.comp.S,NP.agent.V.from.NP.source.about.NP.theme.whether.S,NP.OR..animate.organization..V.PP.PP.whether.S,NP.OR..animate.organization..V.from.NP.about.NP.whether.S_INF,NP.agent.OR..animate.organization..V.PP.source.PP.theme.whether.S_INF
NP.agent.OR..animate.organization..V.from.NP.source.about.NP.theme.whether.if.S,NP.V.PP.source.PP.theme.whether.if.S,NP.V.PP.PP.comp.S,NP.V.from.NP.about.NP.whether.if.S,NP.agent.V.PP.source.PP.theme.comp.S,NP.agent.V.from.NP.source.about.NP.theme.whether.if.S,NP.OR..animate.organization..V.PP.PP.whether.if.S,NP.OR..animate.organization..V.from.NP.about.NP.whether.if.S,NP.agent.OR..animate.organization..V.PP.source.PP.theme.whether.if.S
NP.agent.OR..animate.organization..V.from.NP.source.how.S.theme,NP.V.PP.source.how.S,NP.V.PP.comp.S,NP.V.from.NP.how.S,NP.agent.V.PP.source.comp.S.theme,NP.agent.V.from.NP.source.how.S.theme,NP.OR..animate.organization..V.PP.how.S,NP.OR..animate.organization..V.from.NP.how.S,NP.agent.OR..animate.organization..V.PP.source.how.S.theme
NP.agent.OR..animate.organization..V.from.NP.source.how.S_INF.theme,NP.V.PP.source.how.S_INF,NP.V.PP.comp.S,NP.V.from.NP.how.S,NP.agent.V.PP.source.comp.S.theme,NP.agent.V.from.NP.source.how.S.theme,NP.OR..animate.organization..V.PP.how.S,NP.OR..animate.organization..V.from.NP.how.S_INF,NP.agent.OR..animate.organization..V.PP.source.how.S_INF.theme
NP.agent.OR..animate.organization..V.from.NP.theme.S,NP.V.PP.theme.S,NP.V.PP.S,NP.V.from.NP.S,NP.agent.V.PP.theme.S,NP.agent.V.from.NP.theme.S,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.from.NP.S,NP.agent.OR..animate.organization..V.PP.theme.S
NP.agent.OR..animate.organization..V.from.NP.theme.S_ING,NP.V.PP.theme.S_ING,NP.V.PP.S,NP.V.from.NP.S,NP.agent.V.PP.theme.S,NP.agent.V.from.NP.theme.S,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.from.NP.S_ING,NP.agent.OR..animate.organization..V.PP.theme.S_ING
NP.agent.OR..animate.organization..V.how.S.theme,NP.V.how.S,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.theme,NP.agent.V.how.S.theme,NP.OR..animate.organization..V.how.S,NP.OR..animate.organization..V.how.S,NP.agent.OR..animate.organization..V.how.S.theme
NP.agent.OR..animate.organization..V.how.S.theme.OR..concrete.organization.,NP.V.how.S,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.theme,NP.agent.V.how.S.theme,NP.OR..animate.organization..V.how.S.OR..concrete.organization.,NP.OR..animate.organization..V.how.S.OR..concrete.organization.,NP.agent.OR..animate.organization..V.how.S.theme.OR..concrete.organization.
NP.agent.OR..animate.organization..V.how.S.topic,NP.V.how.S,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.topic,NP.agent.V.how.S.topic,NP.OR..animate.organization..V.how.S,NP.OR..animate.organization..V.how.S,NP.agent.OR..animate.organization..V.how.S.topic
NP.agent.OR..animate.organization..V.how.S.topic.communication,NP.V.how.S,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.topic,NP.agent.V.how.S.topic,NP.OR..animate.organization..V.how.S.communication,NP.OR..animate.organization..V.how.S.communication,NP.agent.OR..animate.organization..V.how.S.topic.communication
NP.agent.OR..animate.organization..V.how.S.value,NP.V.how.S,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.value,NP.agent.V.how.S.value,NP.OR..animate.organization..V.how.S,NP.OR..animate.organization..V.how.S,NP.agent.OR..animate.organization..V.how.S.value
NP.agent.OR..animate.organization..V.how.S_INF.theme,NP.V.how.S_INF,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.theme,NP.agent.V.how.S.theme,NP.OR..animate.organization..V.how.S,NP.OR..animate.organization..V.how.S_INF,NP.agent.OR..animate.organization..V.how.S_INF.theme
NP.agent.OR..animate.organization..V.how.S_INF.theme.OR..concrete.organization.,NP.V.how.S_INF,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.theme,NP.agent.V.how.S.theme,NP.OR..animate.organization..V.how.S.OR..concrete.organization.,NP.OR..animate.organization..V.how.S_INF.OR..concrete.organization.,NP.agent.OR..animate.organization..V.how.S_INF.theme.OR..concrete.organization.
NP.agent.OR..animate.organization..V.how.S_INF.topic,NP.V.how.S_INF,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.topic,NP.agent.V.how.S.topic,NP.OR..animate.organization..V.how.S,NP.OR..animate.organization..V.how.S_INF,NP.agent.OR..animate.organization..V.how.S_INF.topic
NP.agent.OR..animate.organization..V.how.S_INF.topic.communication,NP.V.how.S_INF,NP.V.comp.S,NP.V.how.S,NP.agent.V.comp.S.topic,NP.agent.V.how.S.topic,NP.OR..animate.organization..V.how.S.communication,NP.OR..animate.organization..V.how.S_INF.communication,NP.agent.OR..animate.organization..V.how.S_INF.topic.communication
NP.agent.OR..animate.organization..V.in.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.in.NP,NP.agent.V.PP.theme,NP.agent.V.in.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.in.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.in.NP.theme.S_ING,NP.V.PP.theme.S_ING,NP.V.PP.S,NP.V.in.NP.S,NP.agent.V.PP.theme.S,NP.agent.V.in.NP.theme.S,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.in.NP.S_ING,NP.agent.OR..animate.organization..V.PP.theme.S_ING
NP.agent.OR..animate.organization..V.in_front_of.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.in_front_of.NP,NP.agent.V.PP.theme,NP.agent.V.in_front_of.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.in_front_of.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.inside.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.inside.NP,NP.agent.V.PP.theme,NP.agent.V.inside.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.inside.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.near.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.near.NP,NP.agent.V.PP.theme,NP.agent.V.near.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.near.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.next_to.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.next_to.NP,NP.agent.V.PP.theme,NP.agent.V.next_to.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.next_to.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.of.NP.attribute.theme.S_ING.attribute,NP.V.PP.attribute.S_ING,NP.V.PP.S,NP.V.of.NP.S,NP.agent.V.PP.theme.S.attribute,NP.agent.V.of.NP.theme.S.attribute,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.of.NP.S_ING,NP.agent.OR..animate.organization..V.PP.attribute.theme.S_ING.attribute
NP.agent.OR..animate.organization..V.of.NP.recipient.OR..animate.organization..about.NP.topic.what.S,NP.V.PP.recipient.PP.topic.what.S,NP.V.PP.PP.comp.S,NP.V.of.NP.about.NP.what.S,NP.agent.V.PP.recipient.PP.topic.comp.S,NP.agent.V.of.NP.recipient.about.NP.topic.what.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.what.S,NP.OR..animate.organization..V.of.NP.OR..animate.organization..about.NP.what.S,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..PP.topic.what.S
NP.agent.OR..animate.organization..V.of.NP.recipient.OR..animate.organization..about.NP.topic.what.S_INF,NP.V.PP.recipient.PP.topic.what.S_INF,NP.V.PP.PP.comp.S,NP.V.of.NP.about.NP.what.S,NP.agent.V.PP.recipient.PP.topic.comp.S,NP.agent.V.of.NP.recipient.about.NP.topic.what.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.what.S,NP.OR..animate.organization..V.of.NP.OR..animate.organization..about.NP.what.S_INF,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..PP.topic.what.S_INF
NP.agent.OR..animate.organization..V.of.NP.recipient.OR..animate.organization..about.NP.topic.whether.S_INF,NP.V.PP.recipient.PP.topic.whether.S_INF,NP.V.PP.PP.comp.S,NP.V.of.NP.about.NP.whether.S,NP.agent.V.PP.recipient.PP.topic.comp.S,NP.agent.V.of.NP.recipient.about.NP.topic.whether.S,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.whether.S,NP.OR..animate.organization..V.of.NP.OR..animate.organization..about.NP.whether.S_INF,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..PP.topic.whether.S_INF
NP.agent.OR..animate.organization..V.of.NP.recipient.OR..animate.organization..about.whether.S.topic,NP.V.PP.recipient.whether.S,NP.V.PP.comp.S,NP.V.of.NP.about.whether.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.of.NP.recipient.about.whether.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..whether.S,NP.OR..animate.organization..V.of.NP.OR..animate.organization..about.whether.S,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..whether.S.topic
NP.agent.OR..animate.organization..V.of.NP.recipient.OR..animate.organization..how.S.topic,NP.V.PP.recipient.how.S,NP.V.PP.comp.S,NP.V.of.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.of.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S,NP.OR..animate.organization..V.of.NP.OR..animate.organization..how.S,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S.topic
NP.agent.OR..animate.organization..V.of.NP.recipient.OR..animate.organization..how.S_INF.topic,NP.V.PP.recipient.how.S_INF,NP.V.PP.comp.S,NP.V.of.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.of.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S,NP.OR..animate.organization..V.of.NP.OR..animate.organization..how.S_INF,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S_INF.topic
NP.agent.OR..animate.organization..V.off.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.off.NP,NP.agent.V.PP.theme,NP.agent.V.off.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.off.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.on.NP.goal.what.S_INF,NP.V.PP.goal.what.S_INF,NP.V.PP.comp.S,NP.V.on.NP.what.S,NP.agent.V.PP.goal.comp.S,NP.agent.V.on.NP.goal.what.S,NP.OR..animate.organization..V.PP.what.S,NP.OR..animate.organization..V.on.NP.what.S_INF,NP.agent.OR..animate.organization..V.PP.goal.what.S_INF
NP.agent.OR..animate.organization..V.on.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.theme,NP.agent.V.on.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.on.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.on.NP.theme.NP.S_ING,NP.V.PP.theme.NP.S_ING,NP.V.PP.NP.S,NP.V.on.NP.NP.S,NP.agent.V.PP.theme.NP.S,NP.agent.V.on.NP.theme.NP.S,NP.OR..animate.organization..V.PP.NP.S,NP.OR..animate.organization..V.on.NP.NP.S_ING,NP.agent.OR..animate.organization..V.PP.theme.NP.S_ING
NP.agent.OR..animate.organization..V.on.NP.theme.S_INF,NP.V.PP.theme.S_INF,NP.V.PP.S,NP.V.on.NP.S,NP.agent.V.PP.theme.S,NP.agent.V.on.NP.theme.S,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.on.NP.S_INF,NP.agent.OR..animate.organization..V.PP.theme.S_INF
NP.agent.OR..animate.organization..V.on.NP.theme.S_ING,NP.V.PP.theme.S_ING,NP.V.PP.S,NP.V.on.NP.S,NP.agent.V.PP.theme.S,NP.agent.V.on.NP.theme.S,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.on.NP.S_ING,NP.agent.OR..animate.organization..V.PP.theme.S_ING
NP.agent.OR..animate.organization..V.on.NP.topic.S_ING,NP.V.PP.topic.S_ING,NP.V.PP.S,NP.V.on.NP.S,NP.agent.V.PP.topic.S,NP.agent.V.on.NP.topic.S,NP.OR..animate.organization..V.PP.S,NP.OR..animate.organization..V.on.NP.S_ING,NP.agent.OR..animate.organization..V.PP.topic.S_ING
NP.agent.OR..animate.organization..V.on.NP.topic.communication,NP.V.PP.topic,NP.V.PP,NP.V.on.NP,NP.agent.V.PP.topic,NP.agent.V.on.NP.topic,NP.OR..animate.organization..V.PP.communication,NP.OR..animate.organization..V.on.NP.communication,NP.agent.OR..animate.organization..V.PP.topic.communication
NP.agent.OR..animate.organization..V.opposite.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.opposite.NP,NP.agent.V.PP.theme,NP.agent.V.opposite.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.opposite.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.out_of.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.out_of.NP,NP.agent.V.PP.theme,NP.agent.V.out_of.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.out_of.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.outside.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.outside.NP,NP.agent.V.PP.theme,NP.agent.V.outside.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.outside.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.over.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.over.NP,NP.agent.V.PP.theme,NP.agent.V.over.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.over.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.regarding.NP.topic.communication,NP.V.PP.topic,NP.V.PP,NP.V.regarding.NP,NP.agent.V.PP.topic,NP.agent.V.regarding.NP.topic,NP.OR..animate.organization..V.PP.communication,NP.OR..animate.organization..V.regarding.NP.communication,NP.agent.OR..animate.organization..V.PP.topic.communication
NP.agent.OR..animate.organization..V.respecting.NP.topic.communication,NP.V.PP.topic,NP.V.PP,NP.V.respecting.NP,NP.agent.V.PP.topic,NP.agent.V.respecting.NP.topic,NP.OR..animate.organization..V.PP.communication,NP.OR..animate.organization..V.respecting.NP.communication,NP.agent.OR..animate.organization..V.PP.topic.communication
NP.agent.OR..animate.organization..V.round.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.round.NP,NP.agent.V.PP.theme,NP.agent.V.round.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.round.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.that.S.theme,NP.V.that.S,NP.V.comp.S,NP.V.that.S,NP.agent.V.comp.S.theme,NP.agent.V.that.S.theme,NP.OR..animate.organization..V.that.S,NP.OR..animate.organization..V.that.S,NP.agent.OR..animate.organization..V.that.S.theme
NP.agent.OR..animate.organization..V.that.S.theme.from.NP.theme.source,NP.V.that.S.PP.theme,NP.V.comp.S.PP,NP.V.that.S.from.NP,NP.agent.V.comp.S.theme.PP.source,NP.agent.V.that.S.theme.from.NP.source,NP.OR..animate.organization..V.that.S.PP,NP.OR..animate.organization..V.that.S.from.NP,NP.agent.OR..animate.organization..V.that.S.theme.PP.theme.source
NP.agent.OR..animate.organization..V.that.S.topic,NP.V.that.S,NP.V.comp.S,NP.V.that.S,NP.agent.V.comp.S.topic,NP.agent.V.that.S.topic,NP.OR..animate.organization..V.that.S,NP.OR..animate.organization..V.that.S,NP.agent.OR..animate.organization..V.that.S.topic
NP.agent.OR..animate.organization..V.that.S.topic.communication,NP.V.that.S,NP.V.comp.S,NP.V.that.S,NP.agent.V.comp.S.topic,NP.agent.V.that.S.topic,NP.OR..animate.organization..V.that.S.communication,NP.OR..animate.organization..V.that.S.communication,NP.agent.OR..animate.organization..V.that.S.topic.communication
NP.agent.OR..animate.organization..V.throughout.NP.theme,NP.V.PP.theme,NP.V.PP,NP.V.throughout.NP,NP.agent.V.PP.theme,NP.agent.V.throughout.NP.theme,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.throughout.NP,NP.agent.OR..animate.organization..V.PP.theme
NP.agent.OR..animate.organization..V.to.NP.co.agent.OR..animate.organization.,NP.V.PP.co.agent,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.co.agent,NP.agent.V.to.NP.co.agent,NP.OR..animate.organization..V.PP.OR..animate.organization.,NP.OR..animate.organization..V.to.NP.OR..animate.organization.,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization.
NP.agent.OR..animate.organization..V.to.NP.co.agent.OR..animate.organization..about.NP.topic.communication,NP.V.PP.co.agent.PP.topic,NP.V.PP.PP,NP.V.to.NP.about.NP,NP.agent.V.PP.co.agent.PP.topic,NP.agent.V.to.NP.co.agent.about.NP.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..about.NP.communication,NP.agent.OR..animate.organization..V.PP.co.agent.OR..animate.organization..PP.topic.communication
NP.agent.OR..animate.organization..V.to.NP.goal,NP.V.PP,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.goal,NP.agent.V.to.NP.goal,NP.OR..animate.organization..V.PP,NP.OR..animate.organization..V.to.NP,NP.agent.OR..animate.organization..V.PP.goal
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization.,NP.V.PP.recipient,NP.V.PP,NP.V.to.NP,NP.agent.V.PP.recipient,NP.agent.V.to.NP.recipient,NP.OR..animate.organization..V.PP.OR..animate.organization.,NP.OR..animate.organization..V.to.NP.OR..animate.organization.,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization.
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..NP.theme,NP.V.PP.recipient.NP,NP.V.PP.NP,NP.V.to.NP.NP,NP.agent.V.PP.recipient.NP.theme,NP.agent.V.to.NP.recipient.NP.theme,NP.OR..animate.organization..V.PP.OR..animate.organization..NP,NP.OR..animate.organization..V.to.NP.OR..animate.organization..NP,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..NP.theme
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..S.Quote.topic.communication,NP.V.PP.recipient.S.Quote,NP.V.PP.S,NP.V.to.NP.S,NP.agent.V.PP.recipient.S.topic,NP.agent.V.to.NP.recipient.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..S.Quote.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..S.Quote.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..S.Quote.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..S_INF.topic.communication,NP.V.PP.recipient.S_INF,NP.V.PP.S,NP.V.to.NP.S,NP.agent.V.PP.recipient.S.topic,NP.agent.V.to.NP.recipient.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..S.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..S_INF.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..S_INF.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..about.NP.topic,NP.V.PP.recipient.PP.topic,NP.V.PP.PP,NP.V.to.NP.about.NP,NP.agent.V.PP.recipient.PP.topic,NP.agent.V.to.NP.recipient.about.NP.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..PP,NP.OR..animate.organization..V.to.NP.OR..animate.organization..about.NP,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..PP.topic
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..about.NP.topic.communication,NP.V.PP.recipient.PP.topic,NP.V.PP.PP,NP.V.to.NP.about.NP,NP.agent.V.PP.recipient.PP.topic,NP.agent.V.to.NP.recipient.about.NP.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..PP.communication,NP.OR..animate.organization..V.to.NP.OR..animate.organization..about.NP.communication,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..PP.topic.communication
NP.agent.OR..animate.organization..V.to.NP.recipient.OR..animate.organization..how.S.topic,NP.V.PP.recipient.how.S,NP.V.PP.comp.S,NP.V.to.NP.how.S,NP.agent.V.PP.recipient.comp.S.topic,NP.agent.V.to.NP.recipient.how.S.topic,NP.OR..animate.organization..V.PP.OR..animate.organization..how.S,NP.OR..animate.organization..V.to.NP.OR..animate.organization..how.S,NP.agent.OR..animate.organization..V.PP.recipient.OR..animate.organization..how.S.topic
